nhom,nut_can_hoc,ten_can_hoc,tien_quyet,ten_tien_quyet,refd,chi_phi,ly_do,xuyen_bai,DUYET,GHI_CHU
CAN_DUYET,B6A.VI_DU.BINH_NUOC,Ví dụ bài toán đong nước,B3.KN.BIEU_DIEN_TRANG_THAI,"Biểu diễn trạng thái (a, b, k)",0.8,2,Bài toán đong nước cần biểu diễn trạng thái,True,OK,
CAN_DUYET,B2.KN.VET_CAN_THONG_MINH,Vét cạn thông minh,B1.PP.STATE_SPACE_SEARCH,State Space Search,0.8,2,Vét cạn thông minh là cải tiến của tìm kiếm không gian trạng thái.,True,OK,
CAN_DUYET,B3.KN.KHONG_GIAN_TRANG_THAI_2,Không gian trạng thái,B2.KN.BAI_TOAN_NGUOI_DUA_THU,Bài toán người đưa thư,0.8,2,Hiểu bài toán người đưa thư để mô hình không gian trạng thái,True,OK,
CAN_DUYET,B3.TT.A_STAR_2,Thuật toán A*,B2.NL.THAM_LAM_2,Nguyên lý tham lam,0.8,2,A* kết hợp tham lam với tìm kiếm,True,OK,
CAN_DUYET,B3.TT.CAY_KHUNG_NHO_NHAT,Thuật toán cây khung nhỏ nhất,B2.KN.THUAT_GIAI,Thuật giải,0.8,2,Cây khung nhỏ nhất là một thuật giải,True,OK,
CAN_DUYET,B3.KN.BAI_TOAN_TIM_KIEM,Bài toán tìm kiếm,B2.NL.VET_CAN_THONG_MINH_2,Nguyên lý vét cạn thông minh,0.8,2,Bài toán tìm kiếm giải bằng vét cạn thông minh,True,OK,
CAN_DUYET,B3.KN.KHONG_GIAN_TRANG_THAI_2,Không gian trạng thái,B2.KN.VET_CAN_THONG_MINH,Vét cạn thông minh,0.8,2,Không gian trạng thái dùng vét cạn thông minh,True,OK,
CAN_DUYET,B3.VD.BAI_TOAN_8_SO_A_STAR,Ví dụ A* với bài toán 8 số,B2.KN.HAM_HEURISTIC,Hàm Heuristic,0.8,1,Ví dụ A* 8 số dùng hàm heuristic,True,OK,
CAN_DUYET,B3.BT.BAI_TOAN_DUONG_DI_NGAN_NHAT,Bài toán tìm đường đi ngắn nhất,B2.TT.NGUOI_DUA_THU,Thuật giải Heuristic bài toán người đưa thư,0.8,2,Bài toán đường đi ngắn nhất tương tự người đưa thư,True,OK,
CAN_DUYET,B5.NL.TIEU_CHUAN_DAY_DU,Tiêu chuẩn tính đầy đủ,B3.TC.TIEU_CHUAN_THUAT_TOAN,Tiêu chuẩn thuật toán,0.8,2,Tiêu chuẩn đầy đủ kế thừa tiêu chuẩn thuật toán,True,OK,
CAN_DUYET,B5.KN.TRI_THUC_THANH_PHAN,Các thành phần tri thức,B1.KN.HE_CHUYEN_GIA,Hệ chuyên gia,0.75,2,Thành phần tri thức kế thừa từ cấu trúc hệ chuyên gia,True,OK,
CAN_DUYET,B5.KN.PHUONG_PHAP_BDTT,Các phương pháp biểu diễn tri thức,B3.KN.BIEU_DIEN_TRANG_THAI,"Biểu diễn trạng thái (a, b, k)",0.75,3,Biểu diễn tri thức mở rộng biểu diễn trạng thái,True,OK,
CAN_DUYET,B5.NL.TIEU_CHUAN_HINH_THUC_HOA,Tiêu chuẩn tính hình thức hóa,B3.KN.MO_HINH_VAN_DE,Mô hình vấn đề,0.75,2,Hình thức hóa dựa trên mô hình vấn đề,True,OK,
CAN_DUYET,B5.KN.HE_CO_SO_TRI_THUC,Hệ cơ sở tri thức,B3.KN.CHIEN_LUOC_TIM_KIEM,Các chiến lược tìm kiếm,0.75,2,Hệ CSTT dùng chiến lược tìm kiếm để suy diễn,True,OK,
CAN_DUYET,B3.NL.HUONGTRI,Nguyên lý hướng dẫn bằng tri thức,B2.KN.HAM_HEURISTIC,Hàm Heuristic,0.7,2,Hướng dẫn bằng tri thức thường dùng hàm heuristic.,True,OK,
CAN_DUYET,B6A.KN.TRI_THUC_HEURISTIC,Tri thức heuristic,B2.KN.HAM_HEURISTIC,Hàm Heuristic,0.7,2,Tri thức heuristic liên quan đến hàm heuristic,True,OK,
CAN_DUYET,B2.KN.THUAT_GIAI,Thuật giải,B1.PP.STATE_SPACE_SEARCH,State Space Search,0.7,3,Khái niệm thuật giải kế thừa từ phương pháp tìm kiếm không gian trạng thái.,True,OK,
CAN_DUYET,B2.KN.BAI_TOAN_NGUOI_DUA_THU,Bài toán người đưa thư,B1.PP.STATE_SPACE_SEARCH,State Space Search,0.7,3,Bài toán người đưa thư mô hình hóa thành không gian trạng thái tìm kiếm.,True,OK,
CAN_DUYET,B3.TT.DIJKSTRA,Thuật toán Dijkstra,B2.BT.TO_MAU_DO_THI,Bài toán tô màu đồ thị,0.7,2,Dijkstra giải bài toán đồ thị tương tự tô màu,True,OK,
CAN_DUYET,B3.PP.CAIDATPUZZLEASTART,Cài đặt thuật toán A* cho bài toán Puzzle,B2.KN.THUAT_GIAI,Thuật giải,0.7,1,Cài đặt thuật giải A* dựa trên khái niệm thuật giải,True,OK,
CAN_DUYET,B3.PP.MO_RONG_CAY_TIM_KIEM,Mở rộng cây tìm kiếm,B2.KN.THUAT_GIAI,Thuật giải,0.7,1,Mở rộng cây tìm kiếm là một thuật giải,True,OK,
CAN_DUYET,B3.KN.DO_THI_TRANG_THAI,Đồ thị trạng thái,B2.BT.TO_MAU_DO_THI,Bài toán tô màu đồ thị,0.7,2,Đồ thị trạng thái dựa trên khái niệm đồ thị,True,OK,
CAN_DUYET,B3.VI_DU.TRAM_CAP_NUOC,Ví dụ trạm cấp nước,B2.NL.VET_CAN_THONG_MINH_2,Nguyên lý vét cạn thông minh,0.7,1,Ví dụ trạm cấp nước minh họa vét cạn thông minh,True,OK,
CAN_DUYET,B5.KN.PHUONG_PHAP_BDTT,Các phương pháp biểu diễn tri thức,B2.KN.THUAT_GIAI,Thuật giải,0.7,2,Biểu diễn tri thức phục vụ thuật giải suy diễn,True,OK,
CAN_DUYET,B5.KN.PHUONG_PHAP_BDTT,Các phương pháp biểu diễn tri thức,B3.KN.MO_HINH_VAN_DE,Mô hình vấn đề,0.7,2,Mô hình vấn đề là nền tảng biểu diễn tri thức,True,OK,
CAN_DUYET,B5.KN.HE_CO_SO_TRI_THUC,Hệ cơ sở tri thức,B2.KN.THUAT_GIAI_HEURISTIC_3,Thuật giải Heuristic,0.7,2,Hệ CSTT dùng thuật giải heuristic để suy diễn,True,OK,
CAN_DUYET,B5.NL.TIEU_CHUAN_PHO_QUAT,Tiêu chuẩn tính phổ quát,B3.TC.TIEU_CHUAN_THUAT_TOAN,Tiêu chuẩn thuật toán,0.7,2,Tiêu chuẩn phổ quát là mở rộng tiêu chuẩn thuật toán,True,OK,
