nhom,nut_can_hoc,ten_can_hoc,tien_quyet,ten_tien_quyet,refd,chi_phi,ly_do,xuyen_bai,DUYET,GHI_CHU
CAN_DUYET,B6A.VI_DU.BINH_NUOC,Ví dụ bài toán đong nước,B3.KN.BIEU_DIEN_TRANG_THAI,"Biểu diễn trạng thái (a, b, k)",0.8,2,Bài toán đong nước cần biểu diễn trạng thái,TRUE,OK,
CAN_DUYET,B2.KN.VET_CAN_THONG_MINH,Vét cạn thông minh,B1.PP.STATE_SPACE_SEARCH,State Space Search,0.8,2,Vét cạn thông minh là cải tiến của tìm kiếm không gian trạng thái.,TRUE,OK,
CAN_DUYET,B3.KN.KHONG_GIAN_TRANG_THAI_2,Không gian trạng thái,B2.KN.BAI_TOAN_NGUOI_DUA_THU,Bài toán người đưa thư,0.8,2,Hiểu bài toán người đưa thư để mô hình không gian trạng thái,TRUE,OK,
CAN_DUYET,B3.TT.A_STAR_2,Thuật toán A*,B2.NL.THAM_LAM_2,Nguyên lý tham lam,0.8,2,A* kết hợp tham lam với tìm kiếm,TRUE,OK,
CAN_DUYET,B3.TT.CAY_KHUNG_NHO_NHAT,Thuật toán cây khung nhỏ nhất,B2.KN.THUAT_GIAI,Thuật giải,0.8,2,Cây khung nhỏ nhất là một thuật giải,TRUE,OK,
CAN_DUYET,B3.KN.BAI_TOAN_TIM_KIEM,Bài toán tìm kiếm,B2.NL.VET_CAN_THONG_MINH_2,Nguyên lý vét cạn thông minh,0.8,2,Bài toán tìm kiếm giải bằng vét cạn thông minh,TRUE,OK,
CAN_DUYET,B3.KN.KHONG_GIAN_TRANG_THAI_2,Không gian trạng thái,B2.KN.VET_CAN_THONG_MINH,Vét cạn thông minh,0.8,2,Không gian trạng thái dùng vét cạn thông minh,TRUE,OK,
CAN_DUYET,B3.VD.BAI_TOAN_8_SO_A_STAR,Ví dụ A* với bài toán 8 số,B2.KN.HAM_HEURISTIC,Hàm Heuristic,0.8,1,Ví dụ A* 8 số dùng hàm heuristic,TRUE,OK,
CAN_DUYET,B3.BT.BAI_TOAN_DUONG_DI_NGAN_NHAT,Bài toán tìm đường đi ngắn nhất,B2.TT.NGUOI_DUA_THU,Thuật giải Heuristic bài toán người đưa thư,0.8,2,Bài toán đường đi ngắn nhất tương tự người đưa thư,TRUE,OK,
CAN_DUYET,B3.NL.HUONGTRI,Nguyên lý hướng dẫn bằng tri thức,B2.KN.HAM_HEURISTIC,Hàm Heuristic,0.7,2,Hướng dẫn bằng tri thức thường dùng hàm heuristic.,TRUE,OK,
CAN_DUYET,B6A.KN.TRI_THUC_HEURISTIC,Tri thức heuristic,B2.KN.HAM_HEURISTIC,Hàm Heuristic,0.7,2,Tri thức heuristic liên quan đến hàm heuristic,TRUE,OK,
CAN_DUYET,B2.KN.THUAT_GIAI,Thuật giải,B1.PP.STATE_SPACE_SEARCH,State Space Search,0.7,3,Khái niệm thuật giải kế thừa từ phương pháp tìm kiếm không gian trạng thái.,TRUE,OK,
CAN_DUYET,B2.KN.BAI_TOAN_NGUOI_DUA_THU,Bài toán người đưa thư,B1.PP.STATE_SPACE_SEARCH,State Space Search,0.7,3,Bài toán người đưa thư mô hình hóa thành không gian trạng thái tìm kiếm.,TRUE,OK,
CAN_DUYET,B3.TT.DIJKSTRA,Thuật toán Dijkstra,B2.BT.TO_MAU_DO_THI,Bài toán tô màu đồ thị,0.7,2,Dijkstra giải bài toán đồ thị tương tự tô màu,TRUE,OK,
CAN_DUYET,B3.PP.CAIDATPUZZLEASTART,Cài đặt thuật toán A* cho bài toán Puzzle,B2.KN.THUAT_GIAI,Thuật giải,0.7,1,Cài đặt thuật giải A* dựa trên khái niệm thuật giải,TRUE,OK,
CAN_DUYET,B3.PP.MO_RONG_CAY_TIM_KIEM,Mở rộng cây tìm kiếm,B2.KN.THUAT_GIAI,Thuật giải,0.7,1,Mở rộng cây tìm kiếm là một thuật giải,TRUE,OK,
CAN_DUYET,B3.KN.DO_THI_TRANG_THAI,Đồ thị trạng thái,B2.BT.TO_MAU_DO_THI,Bài toán tô màu đồ thị,0.7,2,Đồ thị trạng thái dựa trên khái niệm đồ thị,TRUE,OK,
CAN_DUYET,B3.VI_DU.TRAM_CAP_NUOC,Ví dụ trạm cấp nước,B2.NL.VET_CAN_THONG_MINH_2,Nguyên lý vét cạn thông minh,0.7,1,Ví dụ trạm cấp nước minh họa vét cạn thông minh,TRUE,OK,
TU_DONG,B3.KN.HAM_H,Hàm h(N),B2.KN.HAM_HEURISTIC,Hàm Heuristic,1,1,Hàm h là hàm heuristic,TRUE,OK,
TU_DONG,B3.KN.HAM_UE_LUONG_H,Hàm ước lượng h(S),B2.KN.HAM_HEURISTIC,Hàm Heuristic,0.95,2,Hàm ước lượng h(S) là dạng cụ thể của hàm heuristic.,TRUE,OK,
TU_DONG,B4.KN.HAM_DANH_GIA_HEURISTIC,Hàm đánh giá heuristic,B2.KN.HAM_HEURISTIC,Hàm Heuristic,0.95,2,Hàm heuristic là nền tảng lý thuyết cho hàm đánh giá heuristic.,TRUE,OK,
TU_DONG,B6A.KN.TRI_THUC,Khái niệm tri thức,B1.KN.AI,Trí tuệ nhân tạo (AI),0.95,1,Tri thức là khái niệm nền tảng trong AI,TRUE,OK,
TU_DONG,B3.TT.A_STAR_2,Thuật toán A*,B2.KN.HAM_HEURISTIC,Hàm Heuristic,0.95,2,Thuật toán A* dùng hàm heuristic làm thành phần,TRUE,OK,
TU_DONG,B6A.NL.BIEU_DIEN_TRI_THUC,Vấn đề biểu diễn tri thức,B5.KN.HE_CO_SO_TRI_THUC,Hệ cơ sở tri thức,0.95,3,Hệ CSTT cần phương pháp biểu diễn tri thức để lưu trữ và xử lý,TRUE,OK,
TU_DONG,B3.KN.TIMKIEMCHIEURONG,Tìm kiếm theo chiều rộng,B2.KN.THUAT_GIAI,Thuật giải,0.9,2,Tìm kiếm chiều rộng là một thuật giải,TRUE,OK,
TU_DONG,B3.KN.TIMKIEMCHIEUSAU,Tìm kiếm theo chiều sâu,B2.KN.THUAT_GIAI,Thuật giải,0.9,2,Tìm kiếm chiều sâu là một thuật giải,TRUE,OK,
TU_DONG,B3.KN.TKTOTNHAT,Tìm kiếm tốt nhất,B2.KN.HAM_HEURISTIC,Hàm Heuristic,0.9,2,Tìm kiếm tốt nhất dùng hàm heuristic để đánh giá,TRUE,OK,
TU_DONG,B3.TT.CAY_KHUNG_NHO_NHAT,Thuật toán cây khung nhỏ nhất,B2.NL.THAM_LAM_2,Nguyên lý tham lam,0.9,2,Cây khung nhỏ nhất dùng nguyên lý tham lam,TRUE,OK,
